stock,buy_date,sell_date,buy_reason,sell_reason,buy_price,sell_price,profit_pct,is_win,holding_bars,adx,pdi,mdi,pdi_mdi_ratio,is_strong_trend,atr_pct,vs_ma5,vs_ma10,vs_ma20,vs_ma60,is_bullish_align,ma5_slope,recent_gain3,recent_gain5,body_pct,body_ratio,upper_shadow_ratio,lower_shadow_ratio,vol_ratio,reversal_ratio,prev5_drop,rsi,macd_diff,macd_dea,macd_hist,macd_hist_prev,macd_hist_slope,kdj_k,kdj_d,kdj_j,kdj_cross,boll_upper,boll_mid,boll_lower,boll_pctb,boll_width,cci,wr,mfi,bias6,bias12,bias24
600206,2024-09-19 00:00:00,2024-10-11 00:00:00,影线后收阳,止盈清仓,8.800000190734863,10.420000076293945,18.21969148620129,True,22,26.810218751285532,24.764840237252464,20.689604658949584,1.196970200517586,False,2.5892876398253337,1.1726861008052836,0.21637796016851382,1.0043057970990859,0.0,False,-0.022989031912258356,0.5714307512555803,-0.11350997055084161,1.851850012202395,0.5,0.18749850988245953,0.8125014901175405,1.310638053342123,2.666645474052293,-2.2805102907651706,53.73,0.029,0.047,-0.037,-0.054,0.017,38.05630588008975,38.164141807986844,37.84063402429557,False,9.117,8.713,8.308,0.6081584557909305,9.284976471938496,-62.08866505639344,49.333,52.951725753882485,0.956,-0.047,1.334
600206,2024-10-18 00:00:00,2024-11-19 00:00:00,影线后收阳,止盈清仓,10.75,19.420000076293945,80.36220832536063,True,32,41.99800712475477,47.83117931155229,16.647127338654084,2.873239228517815,True,5.6677745426216,2.537199392923162,-0.4721795916788849,8.937981543377022,18.629416200439238,True,0.6335187612581719,2.772466164392117,3.1669858089235725,5.703047387954522,0.7249997317791624,0.3793108551171211,0.0,1.441349117346677,2.636360089645277,-8.928571580624096,62.193,0.485,0.477,0.017,0.018,-0.0009999999999999974,33.511024440656854,46.89711218163308,6.738848958704409,False,11.921,9.868,7.815,0.7148075986361423,41.60924199432508,28.342858897410387,41.667,69.24474000362973,2.642,1.511,10.953
600206,2025-02-18 00:00:00,2025-03-05 00:00:00,影线后收阳,止盈清仓,18.290000915527344,19.34000015258789,5.5717029317763265,True,15,46.83800340115024,39.33283176018954,17.145078613784808,2.294117900898137,True,5.033974804109063,1.3184182868793073,5.51517652113059,10.999852485062394,3.7799234670573703,False,1.3246523419245744,-1.0816595893268937,6.89655326173326,3.9795381288638993,0.6140360857169627,0.3999978201753669,0.22857096146615005,1.2344756374675192,2.3333418104599266,1.273144123914961,61.812,0.508,0.218,0.58,0.592,-0.01200000000000001,67.27864377361841,69.50690622410346,62.82211887264833,False,18.773,16.478,14.182,0.8947943619096806,27.86139094550309,80.57964436998276,29.901,68.88572126152413,2.207,7.906,12.716
600206,2025-07-10 00:00:00,2025-07-30 00:00:00,影线后收阳,盈利锁定,18.8799991607666,18.950000762939453,0.2102261440085892,True,20,42.664388764723526,27.02702863461409,10.810799557701356,2.500002750986228,True,3.63952832432329,0.7040708708409756,0.6450191663169205,1.6939979419990272,4.1923388446501955,True,0.24596250847329196,0.2123089588893481,1.2332415385564142,1.72413633637985,0.4324321537838973,0.4375044703526214,0.8749970197649191,1.2214667331056102,0.6956528950292737,-0.05420178031603887,55.683,0.226,0.246,-0.04,-0.054,0.013999999999999999,44.599365375172276,42.252517632466116,49.29306086058459,True,19.632,18.565,17.499,0.6474445198155654,11.489361702127674,-19.661458090801524,42.756,54.325880733366056,0.792,0.23,2.185
600206,2025-08-15 00:00:00,2025-09-03 00:00:00,影线后收阳,止盈清仓,19.459999084472656,21.809999465942383,11.896788062192238,True,19,8.448104434661992,21.263421962762944,21.571624554168654,0.9857125924553443,False,2.3821780202969234,1.2803140035546494,1.459849644840339,0.6308779032239553,4.478541798818615,False,0.3866237578989907,2.098633944061846,1.9381819220918528,2.528975520616751,0.7619050502420519,0.2500019868233873,0.06249751647076588,1.3538904113239607,1.297293117580044,-2.8061282331869895,54.232,0.073,0.095,-0.045,-0.092,0.047,57.633005520555926,51.43778455473532,70.02344745219715,True,20.188,19.338,18.488,0.5717641673368571,8.790981487227217,64.54307790320843,29.63,44.568240777698875,1.389,1.885,0.77
600206,2025-09-24 00:00:00,2025-10-20 00:00:00,回调反转买入,止盈清仓,21.5,22.31999969482422,3.6478995613918137,True,26,30.394577800086868,17.1307935923379,19.746839273424015,0.8675207892836357,False,3.936876569475447,2.939767965003128,1.7414349377674707,-0.3060372103677479,6.678574992901982,False,0.30736691283083833,2.527423481163317,1.5108578385903992,6.911980842670584,0.8687494114042732,0.04316510236566222,0.10791481420495087,1.6246026349330809,3.0217312883282954,-5.3320834162631545,54.03,0.115,0.267,-0.305,-0.442,0.137,44.17813950630882,35.68171594162237,61.170986635681714,True,23.496,21.566,19.636,0.48290155440414534,17.89854400445145,-46.32984737131515,27.711,43.97384926174677,2.699,1.759,0.266
600206,2026-05-28 00:00:00,2026-05-29 00:00:00,影线后收阳,止损清仓,30.84000015258789,28.399999618530273,-8.059101469645299,False,1,32.29057272297714,20.078743328887406,15.17538255858612,1.3231128277242012,True,6.471187346782821,4.323117062634097,3.205943334563051,3.7231364494041594,24.22793946020753,False,1.385554870072393,1.8494037425480023,7.009023175411218,7.194993611011998,0.848360344979883,0.0,0.1787443931313325,1.7199434570059782,1.725001390776371,-8.637547562485562,59.593,1.211,1.595,-0.77,-1.007,0.23699999999999988,36.44719484342057,32.612496712752225,44.11659110475726,True,33.161,29.733,26.305,0.6614644329912325,23.058554468099423,-32.951385110133785,46.041,42.45423317986239,4.761,2.224,5.687
002407,2024-09-24 00:00:00,2024-10-09 00:00:00,影线后收阳,止损清仓,9.600000381469727,12.039999961853027,25.21605480957773,True,15,8.644953590180412,23.491380860703337,25.646540783036436,0.9159668377671191,False,3.452381070644132,4.257169749882137,3.3035634661365583,2.4710496836116684,0.0,False,1.0092146320586257,3.3369259514492517,5.032822985428295,5.147867044222807,1.0,0.0,0.0,2.747046983530613,4.272743035988313,-4.334036424511687,51.648,-0.168,-0.199,0.063,-0.003,0.066,45.96550133109416,35.85575942458626,66.18498514410994,True,9.799,9.369,8.938,0.7688738460740149,9.189881524175462,19.89465302504427,30.0,64.72293222887961,4.386,2.775,2.505
002407,2024-10-23 00:00:00,2024-11-01 00:00:00,多头排列形成,盈利锁定,11.59000015258789,11.520000457763672,-0.7629522558294324,False,9,37.83912005974887,40.32752519233085,18.730820357211115,2.153003681806456,True,6.021199569695759,3.0955341405728505,2.921588578008506,6.379073624847166,14.185318078037442,True,1.0607697657057829,4.039495470346765,5.363637750799006,1.5775662364851557,0.4090919928127567,0.7777730682829653,0.6666649006061119,1.3360510150478833,1.200005086275956,3.5390142781135734,59.677,0.399,0.404,-0.01,-0.03,0.019999999999999997,44.981356791792116,36.79904046021573,61.3459894549449,True,13.083,10.895,8.707,0.6588208758199018,40.16521340064249,3.840598838154404,57.051,60.040597148711335,3.467,0.797,9.04
002407,2025-07-17 00:00:00,2025-08-04 00:00:00,影线后收阳,止盈清仓,11.970000267028809,12.210000038146973,1.8418515052728532,True,18,60.19725348531356,24.213826764333216,11.635234932035777,2.08107759798337,True,1.8976029927549094,0.6220576270037432,1.012659668317554,2.3514346861974755,4.984653796587557,True,0.0,-0.33305546287030713,0.0,1.7857145753384045,0.8076917433884753,0.0,0.2380961031057988,1.0354379734262478,2.333329801212224,-1.1804333364345172,59.875,0.155,0.148,0.013,0.008,0.004999999999999999,53.761680737961825,59.17451192980808,42.93601835426932,False,12.249,11.695,11.141,0.7481951868491048,9.474134245404024,40.963938482279815,30.882,54.753700641379,0.518,1.141,3.461
