stock,buy_date,sell_date,buy_reason,sell_reason,buy_price,sell_price,loss_pct,actual_post_days,recovered,recover_days,max_potential_pct,post_gain_pct
000100,2025-09-24,2025-09-29,影线后收阳,震荡市时间止损,4.349999904632568,4.239999771118164,-2.6846460027346595,10,True,2,3.448278130022205,6.132081200873961
000100,2026-01-23,2026-02-02,影线后收阳,止损清仓,4.960000038146973,4.659999847412109,-6.198668387036905,10,False,0,-1.209676256413027,5.150220081844087
000100,2026-02-04,2026-02-09,影线后收阳,震荡市时间止损,4.829999923706055,4.809999942779541,-0.5733679744278586,10,True,8,2.2774355124627266,2.702705114083539
000725,2024-11-11,2024-11-19,影线后收阳,止损清仓,4.550000190734863,4.289999961853027,-5.865102396738422,10,False,0,-5.054945262240515,0.6993055961564923
000725,2025-01-07,2025-01-10,影线后收阳,止损清仓,4.320000171661377,4.090000152587891,-5.475510354328736,10,True,6,2.3148125152529935,8.068457491309672
000725,2025-07-17,2025-08-01,影线后收阳,止损清仓,3.9800000190734863,3.9700000286102295,-0.410806165883753,10,True,1,1.0050241623450802,1.2594446336512388
000725,2025-09-11,2025-09-15,影线后收阳,止损清仓,4.099999904632568,4.099999904632568,-0.1599520143956775,10,True,1,1.4634132725648943,1.4634132725648943
001301,2024-09-11,2024-09-23,影线后收阳,止损清仓,28.3799991607666,27.209999084472656,-4.275979752755664,10,True,1,42.10712834272435,48.21757878731036
001301,2024-10-18,2024-10-24,多头排列形成,盈利锁定,38.459999084472656,37.7599983215332,-1.9771155980019612,10,True,1,43.005723633012224,45.65678613559532
001301,2026-06-22,2026-06-25,影线后收阳,震荡市时间止损,66.12999725341797,63.7400016784668,-3.7682581205353274,10,True,2,2.35899781155314,6.197051551496706
001301,2026-06-29,2026-07-03,影线后收阳,止损清仓,66.73999786376953,61.189998626708984,-8.462502327316768,10,False,0,-4.854656828702711,3.7751289837138797
002270,2026-03-04,2026-03-12,影线后收阳,盈利锁定,34.56999969482422,33.0099983215332,-4.665321217227994,10,False,0,-4.512587176923167,0.0
002407,2024-10-23,2024-11-01,多头排列形成,盈利锁定,11.59000015258789,11.520000457763672,-0.7629522558294324,10,True,1,25.88438274808944,26.64930184751212
002461,2024-08-13,2024-08-21,影线后收阳,止损清仓,8.399999618530273,8.199999809265137,-2.5370938549850357,10,True,2,2.7381012661389517,5.24390628265535
002461,2024-10-10,2024-10-17,影线后收阳,止损清仓,8.890000343322754,8.75,-1.7322400296423413,10,True,1,7.76152478893386,9.485713413783483
002461,2024-12-24,2025-01-07,影线后收阳,止损清仓,9.5,9.1899995803833,-3.4178948322997624,10,False,0,-2.2105267173365544,1.0881434824348022
002461,2026-06-12,2026-06-16,影线后收阳,止损清仓,9.390000343322754,8.899999618530273,-5.369930085488136,10,False,0,-5.218324886866707,0.0
002498,2025-12-24,2025-12-31,影线后收阳,止损清仓,3.849999904632568,3.7899999618530273,-1.7158993688449264,10,True,2,12.207799446001918,13.984174542028729
002810,2024-10-18,2024-10-29,影线后收阳,盈利锁定,13.829999923706056,13.65999984741211,-1.3871982810894996,10,True,8,6.290671658412739,7.613469791143926
002810,2026-05-06,2026-05-11,影线后收阳,盈利锁定,27.579999923706055,27.540000915527344,-0.3047490741123742,10,True,1,6.7077606475248075,6.862742653660682
002853,2024-11-25,2024-12-04,影线后收阳,盈利锁定,10.649999618530272,10.630000114440918,-0.3474404199816852,10,True,1,26.103293767339657,26.34054713631702
002879,2026-02-06,2026-02-10,影线后收阳,止损清仓,21.809999465942383,21.649999618530273,-0.8923863488512808,10,True,1,6.648330116668347,7.436492557595983
002879,2026-02-12,2026-03-03,影线后收阳,盈利锁定,22.040000915527344,21.36000061035156,-3.2403177257757374,10,True,1,10.753170750619542,14.27902223739848
300199,2024-09-19,2024-09-23,影线后收阳,止损清仓,9.210000038146973,9.079999923706056,-1.5692047407970366,10,True,1,54.505966159576325,56.718057949369104
300199,2024-10-21,2024-10-31,多头排列形成,止损清仓,12.220000267028809,12.0,-1.9574018292100173,10,True,6,10.965631123621083,13.000003496805826
300199,2024-11-19,2024-11-26,影线后收阳,止损清仓,12.5,11.579999923706056,-7.508180155511453,10,True,4,14.000000000000002,23.056995629404444
300199,2025-07-16,2025-07-24,影线后收阳,止损清仓,19.43000030517578,18.690000534057617,-3.9624024259941297,10,True,3,42.4086445789874,48.047080179974515
300199,2025-10-27,2025-10-30,影线后收阳,止损清仓,21.790000915527344,20.010000228881836,-8.315773331615448,10,True,2,2.569983673306469,11.694153552334319
300207,2024-09-11,2024-09-13,影线后收阳,止损清仓,16.020000457763672,15.239999771118164,-5.021082086695496,10,True,6,62.60922904303726,70.93175609115676
300207,2024-10-25,2024-11-01,影线后收阳,止损清仓,23.100000381469727,21.399999618530273,-7.507491189485514,10,True,3,12.467528628600668,21.401869183867788
300207,2025-11-05,2025-11-12,影线后收阳,止损清仓,36.08000183105469,32.209999084472656,-10.868966435525923,10,False,0,-3.325944296118609,8.289357527270763
300207,2025-12-17,2025-12-19,影线后收阳,止损清仓,28.979999542236328,28.40999984741211,-2.123678645933051,10,True,1,4.520363678342299,6.617392038763017
301035,2024-10-25,2024-10-29,影线后收阳,盈利锁定,35.0099983215332,34.97999954223633,-0.2455012776947706,10,True,1,12.13938932806518,12.235559849361985
301319,2024-10-18,2024-10-31,影线后收阳,止损清仓,14.220000267028809,13.829999923706056,-2.898183537641764,10,True,3,15.189865352858483,18.438172459347463
600004,2024-07-31,2024-08-05,影线后收阳,震荡市时间止损,9.109999656677246,9.06999969482422,-0.5983272351786355,10,True,1,0.6586215354324567,1.10254007535182
600004,2024-12-06,2024-12-10,影线后收阳,止损清仓,9.420000076293944,9.420000076293944,-0.1599520143956713,10,True,1,1.6985121668391638,1.6985121668391638
600004,2024-12-27,2024-12-31,影线后收阳,止损清仓,9.420000076293944,9.15999984741211,-2.9156245321864867,10,False,0,-1.8046717082493453,0.9825344332654933
600004,2025-05-26,2025-06-06,影线后收阳,止损清仓,9.039999961853027,9.0,-0.601721718785144,10,True,1,0.0,0.4444440205891927
600157,2024-11-18,2024-11-25,影线后收阳,止损清仓,1.7100000381469729,1.5499999523162842,-9.501715693154004,10,True,7,19.298240721892387,31.61290481360973
600176,2025-03-31,2025-04-07,影线后收阳,止损清仓,12.300000190734863,11.369999885559082,-7.70883605143156,10,False,0,-4.552848869372595,3.2541766867475084
600188,2024-10-21,2024-11-04,多头排列形成,震荡市时间止损,14.869999885559082,14.43000030517578,-3.1141940828019132,10,True,4,1.6812374036585305,4.781701772631371
600188,2025-08-25,2025-08-27,影线后收阳,止损清仓,12.920000076293944,12.460000038146973,-3.7146289192542934,10,False,0,-1.2383889045456027,2.4077061783017357
600339,2025-08-08,2025-08-18,影线后收阳,止损清仓,3.4600000381469727,3.450000047683716,-0.4485067880082977,10,True,1,6.069365197447791,6.37681233534865
600664,2024-11-07,2024-11-21,影线后收阳,震荡市时间止损,4.070000171661377,3.859999895095825,-5.311410688840002,10,False,0,-1.228505863046516,4.145080056452086
600664,2025-05-29,2025-06-05,影线后收阳,盈利锁定,3.7899999618530273,3.7899999618530273,-0.1599520143956892,10,True,1,6.068602147453149,6.068602147453149
600671,2025-02-27,2025-03-06,影线后收阳,盈利锁定,10.020000457763672,10.0,-0.359238099389009,10,True,1,13.27345172599815,13.500003814697264
600744,2024-12-16,2024-12-20,影线后收阳,止损清仓,3.640000104904175,3.359999895095825,-7.839961239005532,10,False,0,-7.692313234582195,0.0
601288,2025-03-05,2025-03-07,影线后收阳,止损清仓,4.789999961853027,4.730000019073486,-1.4105568607317316,10,True,8,0.6263091867905554,1.9027516326632041
601678,2024-11-20,2024-12-04,多头排列形成,震荡市时间止损,4.03000020980835,3.910000085830689,-3.132859585727509,10,True,2,4.218352124226604,7.416872559296547
601678,2026-02-24,2026-03-03,影线后收阳,盈利锁定,5.510000228881836,5.460000038146973,-1.0659449789860511,10,True,1,7.259520905890176,8.24175469086368
601991,2025-03-31,2025-04-07,影线后收阳,止损清仓,2.8299999237060547,2.630000114440918,-7.215779255547574,10,True,7,1.4134262519924379,9.125466185357292
603057,2024-10-18,2024-10-25,影线后收阳,止损清仓,16.34000015258789,16.040000915527344,-1.992995952221213,10,True,1,6.793149326719947,8.790522237733631
603137,2026-02-03,2026-03-03,影线后收阳,震荡市时间止损,14.479999542236328,14.09000015258789,-2.84900995692396,10,True,6,0.5524922645682319,3.3357009364012273
603823,2024-10-21,2024-10-30,多头排列形成,盈利锁定,9.489999771118164,9.489999771118164,-0.1599520143956669,10,True,1,6.217072358457744,6.217072358457744
603823,2024-12-05,2024-12-17,影线后收阳,震荡市时间止损,10.100000381469728,9.619999885559082,-4.904830304970468,10,False,0,-3.267325853883143,1.5592575258733727
603823,2025-05-06,2025-05-12,影线后收阳,止损清仓,10.270000457763672,10.039999961853027,-2.3959071774816025,10,True,1,1.7526713094291362,4.083663834361588
920725,2025-12-03,2025-12-04,影线后收阳,止损清仓,36.70000076293945,35.0,-4.784697360963475,10,True,2,4.904629971774359,10.0
920725,2026-03-10,2026-03-16,影线后收阳,止损清仓,37.36000061035156,36.060001373291016,-3.634041524271426,10,False,0,-3.7473273635091946,-0.2773219218245212
