stock,buy_date,sell_date,buy_reason,sell_reason,buy_price,sell_price,loss_pct,actual_post_days,recovered,recover_days,max_potential_pct,post_gain_pct,buy_date_norm,key,profit_pct,is_win,holding_bars,adx,pdi,mdi,pdi_mdi_ratio,is_strong_trend,atr_pct,vs_ma5,vs_ma10,vs_ma20,vs_ma60,is_bullish_align,ma5_slope,recent_gain3,recent_gain5,body_pct,body_ratio,upper_shadow_ratio,lower_shadow_ratio,vol_ratio,reversal_ratio,prev5_drop,rsi,macd_diff,macd_dea,macd_hist,macd_hist_prev,macd_hist_slope,kdj_k,kdj_d,kdj_j,kdj_cross,boll_upper,boll_mid,boll_lower,boll_pctb,boll_width,cci,wr,mfi,bias6,bias12,bias24
000100,2025-09-24,2025-09-29,影线后收阳,震荡市时间止损,4.349999904632568,4.239999771118164,-2.6846460027346595,10,True,2,3.448278130022205,6.132081200873961,2025-09-24,000100_2025-09-24,-2.6846460027346595,False,5,20.758392627158944,23.611087655580533,15.277795714359984,1.5454511957760948,False,2.3645321655014273,1.1627884798271757,1.0687699882595385,0.4502909601283195,-1.0126325170137058,False,0.3266434616303407,0.9280733731803988,1.6355068082427315,3.3254124754644065,0.875,0.0,0.1428571428571428,1.158717226425361,3.5,-0.936767260695586,50.196,-0.035,-0.035,-0.0,-0.014,0.014,43.34647278088502,40.289764883588184,49.4598885754787,True,4.535,4.331,4.126,0.5476770284414869,9.443546525051946,7.6921442792464685,35.294,61.56120044772012,1.241,1.143,-0.77
000100,2026-01-23,2026-02-02,影线后收阳,止损清仓,4.960000038146973,4.659999847412109,-6.198668387036905,10,False,0,-1.209676256413027,5.150220081844087,2026-01-23,000100_2026-01-23,-6.198668387036905,False,10,61.45777846765819,36.30571458986611,9.554146607994433,3.799995549522686,True,4.521889173871115,1.4314924357342935,2.7553354072275846,6.164384313133242,12.864078713460003,True,0.90796643357668,1.6393426604503258,4.641356068608219,3.1185051382921953,0.6000003814697266,0.5333324856233688,0.1333331214058422,1.670738153858638,1.666673730946313,-0.8230444599618197,64.932,0.138,0.124,0.028,0.024,0.004,56.55590404627722,55.00617974789466,59.655352643042335,True,5.067,4.672,4.277,0.8645570103126234,16.90924657534247,98.5221804474187,29.508,64.5783452022657,1.953,3.531,7.07
000100,2026-02-04,2026-02-09,影线后收阳,震荡市时间止损,4.829999923706055,4.809999942779541,-0.5733679744278586,10,True,8,2.2774355124627266,2.702705114083539,2026-02-04,000100_2026-02-04,-0.5733679744278586,False,5,25.641505104413557,12.698395878766089,24.20634552705151,0.52458954882616,False,3.726709515537389,1.47058785226871,-0.4123727070916486,0.4053616420533157,7.8847424944569715,False,-0.5847947741833353,1.4705817533261394,-2.8168988409594498,3.426120873622839,0.8421042064553693,0.125,0.0625014901175404,1.0105207880985263,4.0,-6.187632843399832,54.89,0.07,0.103,-0.066,-0.076,0.0099999999999999,41.23583129782113,45.4085732160603,32.890347461342785,False,5.055,4.811,4.566,0.5398771445931594,10.164207025566409,-55.523593883787726,47.917,54.733906753866734,0.73,-0.549,1.169
000725,2024-11-11,2024-11-19,影线后收阳,止损清仓,4.550000190734863,4.289999961853027,-5.865102396738422,10,False,0,-5.054945262240515,0.6993055961564923,2024-11-11,000725_2024-11-11,-5.865102396738422,False,8,85.57864709297174,31.896526386860675,3.0172267616503903,10.571471389645776,True,3.6420738274440025,0.7082794147462573,2.247195297412654,6.122453428218395,14.976419886414153,True,0.7133317970234138,2.0179406237243804,3.644654421763239,1.3363123090261777,0.4000025431298935,0.9999920527696098,0.4999920527696098,1.0336217472707463,1.2000038146827137,3.9080478165735664,62.794,0.148,0.135,0.026,0.03,-0.004,74.74698766232622,71.1069136394951,82.02713570798846,True,4.671,4.288,3.904,0.8422427519359362,17.88712686567165,90.81446270589316,17.308,71.24029408428481,1.186,3.019,6.568
000725,2025-01-07,2025-01-10,影线后收阳,止损清仓,4.320000171661377,4.090000152587891,-5.475510354328736,10,True,6,2.3148125152529935,8.068457491309672,2025-01-07,000725_2025-01-07,-5.475510354328736,False,3,24.54935257891529,30.666617923343708,18.66663699681791,1.6428571428571428,False,2.4801602084484724,3.398755434522461,2.151810785968337,1.802759624639319,1.5873048266421184,False,-0.0956479204222394,4.600485519506565,-0.460829037404248,5.882359128509954,0.8000015894587098,0.2083319260028968,0.0416655904728034,1.7533062452751718,12.000023841880648,-3.7825022858310713,55.463,-0.01,-0.002,-0.016,-0.042,0.026,41.441993635647755,33.864865681902174,56.59624954313893,True,4.386,4.244,4.101,0.7684216549521995,6.7153628652214925,10.370425000607238,18.919,50.99825259418634,2.735,2.007,2.097
000725,2025-07-17,2025-08-01,影线后收阳,止损清仓,3.9800000190734863,3.9700000286102295,-0.410806165883753,10,True,1,1.0050241623450802,1.2594446336512388,2025-07-17,000725_2025-07-17,-0.410806165883753,False,15,36.7455505675174,25.974017931565772,19.48051344867433,1.3333333333333333,True,1.3819086511113805,0.657561328174058,0.9127780218115804,1.5047176460207274,4.224860778279348,True,0.050607238600332,-0.2506263268008833,0.2518889267302477,2.313622409825836,0.9,0.0,0.1111111111111111,1.074849331894265,4.5,-0.765305377701246,59.251,0.033,0.036,-0.005,-0.01,0.005,48.95228291926995,52.78384072126166,41.28916731528652,False,4.011,3.921,3.831,0.8277778837415902,4.59066564651875,20.655713006590272,28.571,62.225785700257774,0.59,0.93,1.975
000725,2025-09-11,2025-09-15,影线后收阳,止损清仓,4.099999904632568,4.099999904632568,-0.1599520143956775,10,True,1,1.4634132725648945,1.4634132725648945,2025-09-11,000725_2025-09-11,-0.1599520143956775,False,4,34.118230708284464,21.014488246656093,13.768118946673717,1.526315129034606,True,2.404181439965511,1.0848092262252107,0.9603513194307776,1.5354106218127528,2.98488380309791,True,0.5453638739687363,0.7370941451077506,2.756889594809717,1.9900478628265224,0.8,0.0,0.25,1.2015794339914765,4.0,1.0050241623450802,56.587,0.022,0.025,-0.006,-0.014,0.008,44.33534619226503,42.10195731266632,48.802123951462434,True,4.211,4.038,3.865,0.6791904758166708,8.56859831599802,-11.558465608651922,42.308,66.14794410145683,1.36,0.758,2.075
001301,2024-09-11,2024-09-23,影线后收阳,止损清仓,28.3799991607666,27.209999084472656,-4.275979752755664,10,True,1,42.10712834272435,48.21757878731036,2024-09-11,001301_2024-09-11,-4.275979752755664,False,12,44.57001628758164,28.85713074353145,9.94285691864634,2.9022976976983563,True,4.404509868657257,1.713135668432448,2.9902715044612473,6.776022660785702,0.0,False,-0.4424468953882431,2.5288975717963775,-2.1379339283910292,3.994130482491393,0.8074058794358205,0.2110108439068862,0.0275236100393194,1.1075191279091194,3.4062477648236893,-2.709441505185745,61.498,0.444,0.184,0.519,0.509,0.01,62.83597325958983,65.89532702722987,56.717265724309755,False,29.063,26.579,24.095,0.8625199598966592,18.691448135746267,69.6250680337897,23.848,65.88727822209196,1.05,4.128,7.881
001301,2024-10-18,2024-10-24,多头排列形成,盈利锁定,38.459999084472656,37.7599983215332,-1.9771155980019612,10,True,1,43.005723633012224,45.65678613559532,2024-10-18,001301_2024-10-18,-1.9771155980019612,False,6,34.81224974980143,47.5824122560762,19.450542166417726,2.44632832591317,True,6.760271209367316,7.851932835226151,8.533691777370315,19.552375216896063,35.39551689270661,True,3.5423916649795486,10.899650363419209,18.85042756201241,10.358682262302755,0.9450264132855332,0.0,0.0581714817084768,1.3758329083490952,60.16912512716175,3.0446311662666665,68.93,2.288,1.949,0.678,0.377,0.301,58.12215585941061,56.92846742174789,60.50953273473603,True,39.615,32.17,24.725,0.922431100367539,46.28535903015232,94.57971726344756,13.73,62.93019039451215,9.541,10.507,22.369
001301,2026-06-22,2026-06-25,影线后收阳,震荡市时间止损,66.12999725341797,63.7400016784668,-3.7682581205353274,10,True,2,2.35899781155314,6.197051551496706,2026-06-22,001301_2026-06-22,-3.7682581205353274,False,3,1.685849738142008,21.50574941353213,23.53140267402303,0.9139170202239122,False,6.398652040805848,1.2679501711350367,3.780539144759007,2.8020633362618628,13.802711821996663,False,0.8680869690626803,-0.7950890782693888,4.437772539697974,4.553355341372282,0.6025100395196353,0.0034729672809924,0.656250413921539,1.1238101795238709,0.9632104719255942,6.713121605533723,56.477,1.432,1.589,-0.314,-0.557,0.243,65.23153851686192,58.24043130320677,79.21375294417221,True,68.896,64.327,59.759,0.6972745160794537,14.203988993735136,12.952981043992343,30.337,61.10243063316588,1.783,3.827,3.655
