stock,buy_date,sell_date,buy_reason,sell_reason,buy_price,sell_price,profit_pct,is_win,holding_bars,adx,pdi,mdi,pdi_mdi_ratio,is_strong_trend,atr_pct,vs_ma5,vs_ma10,vs_ma20,vs_ma60,is_bullish_align,ma5_slope,recent_gain3,recent_gain5,body_pct,body_ratio,upper_shadow_ratio,lower_shadow_ratio,vol_ratio,reversal_ratio,prev5_drop,rsi,macd_diff,macd_dea,macd_hist,macd_hist_prev,macd_hist_slope,kdj_k,kdj_d,kdj_j,kdj_cross,boll_upper,boll_mid,boll_lower,boll_pctb,boll_width,cci,wr,mfi,bias6,bias12,bias24
600339,2026-02-11 00:00:00,2026-03-05 00:00:00,影线后收阳,止盈清仓,4.039999961853027,4.809999942779541,18.86896773078084,True,22,44.57377245959714,38.943886027428995,16.501656890981028,2.359998531342253,True,5.357143278675002,2.9037172261904156,1.6096570126270808,6.203994564770916,14.865184624624247,True,0.3578728660242232,2.798979471432692,1.7632224871117343,4.392766959200727,0.7727266816075462,0.2941186370317181,0.0,1.1731255422479476,5.6666746139602155,0.7751992427776419,61.817,0.129,0.129,-0.0,-0.009,0.009,27.62732459602207,32.14421716738172,18.593539453302768,False,4.244,3.804,3.364,0.7681817748329859,23.133543638275498,52.219474512736554,60.784,67.10394325404155,2.712,2.386,7.626
603823,2024-10-21 00:00:00,2024-10-30 00:00:00,多头排列形成,盈利锁定,9.489999771118164,9.489999771118164,-0.15995201439566695,False,9,44.4982679208085,40.93791266205059,14.955643267802978,2.7372886561277596,True,5.938582367616636,1.4322361987543688,0.8715983334540893,5.850202446375963,6.183795972469948,True,0.6454393284097382,0.5296630609895968,3.2644200699990753,1.605991606849301,0.48386908222814934,1.000006357844945,0.0666683620919853,1.0042586995704494,0.7142837680119527,5.869079886157546,55.687,0.166,0.132,0.067,0.064,0.0030000000000000027,35.16795221134716,36.675194682279276,32.15346726948293,False,10.321,8.965,7.61,0.6934709594681535,30.239821528165077,33.24200705649205,57.955,74.01542454491013,1.733,0.556,6.41
603823,2024-12-05 00:00:00,2024-12-17 00:00:00,影线后收阳,震荡市时间止损,10.100000381469727,9.619999885559082,-4.904830304970468,False,12,7.764105351266418,25.037467818853926,20.689642353548084,1.2101450276911254,False,4.7171144443938156,0.7179927434400679,0.5775779107375727,1.8504551540867515,7.235763706009152,True,0.3000611580143393,-1.1741671470031065,1.5075434681407116,3.8026809521139815,0.6491235408381282,0.432431039193348,0.108107759798337,1.3642536334025424,1.5416655076909627,-3.168323132795461,54.935,0.146,0.164,-0.036,-0.046,0.010000000000000002,35.827378942466595,43.28400731300073,20.914122201398328,False,10.418,9.916,9.415,0.6829515268890601,10.114965711980638,16.180770460607985,42.236,55.58283531780371,0.849,0.373,2.625
603823,2025-05-06 00:00:00,2025-05-12 00:00:00,影线后收阳,止损清仓,10.270000457763672,10.039999961853027,-2.3959071774816025,False,6,35.330081865040285,30.81180909200001,8.671591520533381,3.5531896329573427,True,3.769647958484379,2.967718918545972,4.0526877319695505,7.409929194308036,6.160847957830521,False,0.4228756237603099,5.985561429275402,2.087475441228401,4.05269074815123,0.9756115148075438,0.02499815225865518,0.0,1.015067391934685,2.500005960470162,-1.5999984741210938,58.359,0.095,0.01,0.17,0.141,0.029000000000000026,78.43350209408246,76.6402627437701,82.01998079470718,True,10.491,9.562,8.632,0.8811191273607705,19.44153942689814,87.57127376927406,6.757,78.16323008289939,2.82,5.252,6.393
603823,2025-06-19 00:00:00,2025-07-18 00:00:00,影线后收阳,止盈清仓,12.220000267028809,13.510000228881836,10.379626977295214,True,29,50.85393938367303,44.95725665293648,17.863236939433218,2.516747485652672,True,6.8389071864754225,4.928730575498786,2.9225984825550215,9.537470140135548,18.74453609612326,True,0.017176620872837032,2.0885546735418323,0.08190195618831139,10.788763035963033,0.9296874185093185,0.0,0.07563034638397315,1.0200892144101983,5.666668180435148,-11.974617893093635,60.303,0.454,0.454,-0.0,-0.057,0.057,34.242736636728914,42.20653183822139,18.31514623374396,False,12.996,11.156,9.316,0.7891305073447848,32.98673359627106,26.54683636878058,43.75,55.836852599857586,4.089,3.326,11.036
603823,2025-10-31 00:00:00,2025-11-05 00:00:00,影线后收阳,盈利锁定,15.899999618530273,17.31999969482422,8.756581265990281,True,5,12.373266564006286,19.946078410371317,20.03594487025144,0.995514738113821,False,4.999999742944922,5.633802638426352,5.626784349981863,3.2534560127164007,11.203065527172615,False,1.2648003179564549,4.950495174156043,6.2834196389463,10.878657247858223,1.0,0.0,0.0,1.5497231369065516,5.199994913740213,-2.629806779023178,59.794,0.172,0.25,-0.156,-0.32,0.164,44.07600737867954,30.81086591919082,70.60629029765698,True,16.71,15.399,14.088,0.6910753693860691,17.027079680498748,2.5300607915525153,41.353,28.91753643314553,5.742,4.887,5.211
920725,2025-03-10 00:00:00,2025-03-11 00:00:00,影线后收阳,止损清仓,37.0,35.709999084472656,-3.6408642659557735,False,1,24.611039849808893,27.92587805159502,18.04292266079597,1.5477469241872293,False,5.938223982409621,6.726664265113678,7.2619223735368275,4.0685167849214965,1.463450238539702,False,2.878508176037915,8.02919708029197,15.085531085331748,8.440800581104076,0.5323477170693253,0.802083512699096,0.07638795986622074,2.94763827276267,3.428572077329349,6.130144257558387,55.05,-0.266,-0.307,0.083,-0.375,0.458,51.57955122333545,41.36896482492474,72.00072402015688,True,39.339,35.553,31.768,0.6910579844142122,21.294968075830447,88.03567337226113,28.344,50.64355217236075,8.034,6.352,5.396
920725,2025-12-03 00:00:00,2025-12-04 00:00:00,影线后收阳,止损清仓,36.70000076293945,35.0,-4.784697360963474,False,1,26.9981467936302,24.428284485999296,20.75537613231474,1.1769617823483371,False,5.616971586297055,6.785383875556157,7.072005292942496,2.336737150898009,12.18095888353659,False,0.8154880512917321,9.486874289225291,3.9365599988332276,8.837483494534078,0.6234310257867216,0.6040266824033621,0.0,2.6129064274737996,3.104169150195901,-2.172641364151815,54.754,-0.006,0.236,-0.484,-0.963,0.479,35.76289556644091,24.734907050674,57.81887259797474,True,40.793,35.862,30.931,0.5849726995477036,27.49986057665495,72.51845452016853,41.287,43.11027253261097,6.3,6.177,2.378
920725,2025-12-11 00:00:00,2025-12-15 00:00:00,影线后收阳,止损清仓,36.2599983215332,34.029998779296875,-6.3001415237959755,False,4,40.21327357387245,29.034328715678598,9.432163456484256,3.0782257802920703,True,6.1401802568531885,-0.7825797286448154,1.8310439650499726,2.6948134859263457,8.346068843156683,True,0.6333283949691879,-3.2292576988264536,3.2754135322987836,1.1718698860412415,0.12034325700663363,4.619073569482289,2.6904904632152586,1.1671894275832564,0.23999895368303573,-2.7792927426685314,52.334,0.387,0.28,0.215,0.249,-0.034,59.321959350115854,54.41968200860933,69.1265140331289,True,38.117,35.309,32.5,0.6693961761675636,15.908125407119991,67.38392128447866,40.433,62.061421843190054,-0.129,2.384,0.556
920725,2026-01-20 00:00:00,2026-01-28 00:00:00,影线后收阳,止盈清仓,35.900001525878906,39.86000061035156,10.853041907949844,True,8,14.957472201650305,23.42473560424325,17.36411953524916,1.3490310036561912,False,4.136490257038936,3.3509922682317317,2.145338986196635,2.5670362619278073,1.192800905497265,False,0.5907566524553971,4.909410418604486,2.924313149451369,4.7869331135224344,0.6307699079338297,0.5853641516850927,0.0,2.5189842266737426,5.655165609955013,-6.590100813572604,54.053,-0.032,-0.053,0.043,-0.138,0.181,41.95995962300624,40.379500943787576,45.12087698144357,True,36.46,35.002,33.543,0.8080224634483736,8.3338094966002,84.11602205888649,26.374,62.757201473387035,3.28,2.628,2.83
